場館名稱,來源,來源代碼,定位精度,縣市,展覽數,官網連結,座標
北師美術館 MoNTUE,編輯整理（Claude新增公共館）,curated,exact,台北市,1,有,"25.025,121.54"
台北當代藝術館,編輯整理（Claude新增公共館）,curated,exact,台北市,1,有,"25.05078,121.51896"
國立臺灣博物館,編輯整理（Claude新增公共館）,curated,exact,台北市,1,有,"25.0431,121.515"
文化部文化資產園區,編輯整理（Claude新增公共館）,curated,exact,台中市,3,有,"24.1378,120.6845"
臺北市立美術館,編輯整理（Claude新增公共館）,curated,exact,台北市,1,有,"25.0725,121.5247"
關渡美術館,編輯整理（Claude新增公共館）,curated,exact,台北市,1,有,"25.13345,121.4715"
高雄市立美術館,編輯整理（Claude新增公共館）,curated,exact,高雄市,8,有,"22.6663,120.286"
鳳甲美術館,編輯整理（Claude新增公共館）,curated,exact,台北市,1,有,"25.12528,121.49915"
LaLaport 台中 café stand,使用者提供（ACG Excel）,manual,區級,,1,無,"24.1371,120.69764"
LaLaport 台中北館1F,使用者提供（ACG Excel）,manual,區級,,1,無,"24.1371,120.69764"
MITSUI OUTLET PARK 林口I館室內棟1F 六角廣場,使用者提供（ACG Excel）,manual,區級,,1,無,"25.09982,121.34829"
京站時尚廣場1F,使用者提供（ACG Excel）,manual,區級,,1,有,"25.06441,121.51287"
台中中友百貨,使用者提供（ACG Excel）,manual,區級,,1,無,"24.15869,120.68466"
台中中友百貨B棟13樓,使用者提供（ACG Excel）,manual,區級,,1,無,"24.15869,120.68466"
台中大遠百威秀影城,使用者提供（ACG Excel）,manual,區級,,1,無,"24.18366,120.6247"
台北三創生活園區,使用者提供（ACG Excel）,manual,區級,,4,無,"25.02894,121.51344"
台北信義威秀影城,使用者提供（ACG Excel）,manual,區級,,1,無,"25.02888,121.57311"
台東,使用者提供（ACG Excel）,manual,exact,,1,有,"22.9257,121.12644"
屏東縣民公園,使用者提供（ACG Excel）,manual,區級,,1,有,"22.6663,120.47352"
微風廣場 Breeze MEGA Studio 8F C廳 & 9F D廳 藝文中心,使用者提供（ACG Excel）,manual,區級,,2,無,"25.06068,121.55732"
新光三越台中中港店10F天空劇場,使用者提供（ACG Excel）,manual,區級,,1,無,"24.18366,120.6247"
新光三越台北信義新天地A11館,使用者提供（ACG Excel）,manual,區級,,1,有,"25.02888,121.57311"
新光三越台北信義新天地A8館5樓,使用者提供（ACG Excel）,manual,區級,,1,無,"25.02888,121.57311"
新光三越台北南西店,使用者提供（ACG Excel）,manual,區級,,1,無,"25.06853,121.53022"
新光三越高雄左營店 10F,使用者提供（ACG Excel）,manual,區級,,2,無,"22.68187,120.29697"
新店裕隆城 5F 機械大廳,使用者提供（ACG Excel）,manual,區級,,1,無,"24.92841,121.53901"
新莊棒球場,使用者提供（ACG Excel）,manual,區級,,1,無,"25.03201,121.43895"
松山文創園區 5號倉庫,使用者提供（ACG Excel）,manual,區級,,1,無,"25.02888,121.57311"
澎湖,使用者提供（ACG Excel）,manual,exact,,1,有,"23.56969,119.56645"
統一時代百貨高雄店,使用者提供（ACG Excel）,manual,區級,,1,無,"22.62381,120.32599"
臺中驛鐵道文化園區 鐵鹿大街,使用者提供（ACG Excel）,manual,區級,,1,有,"24.14118,120.68102"
華山1914文創園區 中4A館,使用者提供（ACG Excel）,manual,區級,,1,有,"25.02894,121.51344"
華山1914文化創意產業園區,使用者提供（ACG Excel）,manual,區級,,1,無,"25.02894,121.51344"
遠雄海洋公園,使用者提供（ACG Excel）,manual,區級,,1,無,"23.8402,121.51946"
駁二藝術特區,使用者提供（ACG Excel）,manual,區級,,1,無,"22.62513,120.28365"
高雄夢時代購物中心 1F,使用者提供（ACG Excel）,manual,區級,,1,無,"22.58973,120.30816"
高雄大遠百威秀影城,使用者提供（ACG Excel）,manual,區級,,1,無,"22.62381,120.32599"
高雄駁二藝術特區 蓬萊B4倉庫,使用者提供（ACG Excel）,manual,區級,,1,無,"22.64378,120.26708"
高雄駅一番街・北站 高雄捷運高雄車站B2,使用者提供（ACG Excel）,manual,區級,,1,無,"23.2698,120.70344"
1839當代藝廊 Little Gallery,政府API（文化部開放資料）,moc,區級,台北市,1,無,"25.01673,121.54695"
435藝文特區,政府API（文化部開放資料）,moc,區級,新北市,3,無,"25.01703,121.45359"
74藝術中心,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.18583,120.76172"
852藝術空間,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.19299,120.52529"
Epic禪藝實相人文空間,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.14123,120.65473"
Smohouse 思默好時,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.12922,120.62031"
ZASSO 草也,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.14238,120.65099"
iart Gallery 愛上藝廊,政府API（文化部開放資料）,moc,區級,新竹市,1,無,"24.79045,120.98539"
三義木雕博物館,政府API（文化部開放資料）,moc,exact,苗栗縣,2,無,"24.406,120.761"
中原文創園區,政府API（文化部開放資料）,moc,exact,桃園市,1,無,"24.964,121.241"
中台世界博物館,政府API（文化部開放資料）,moc,區級,南投縣,1,無,"23.97178,120.97948"
中島GLAb,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.14043,120.6682"
中正紀念堂1展廳,政府API（文化部開放資料）,moc,exact,台北市,1,無,"25.036,121.523"
也趣藝廊 AKI Gallery,政府API（文化部開放資料）,moc,區級,台北市,1,無,"25.06295,121.51568"
二空間藝術經紀股份有限公司,政府API（文化部開放資料）,moc,區級,台北市,1,無,"25.07213,121.52715"
五穀文化村,政府API（文化部開放資料）,moc,區級,苗栗縣,2,無,"24.48687,120.83992"
五股守讓堂,政府API（文化部開放資料）,moc,區級,新北市,1,無,"25.08794,121.44157"
亞書藝所,政府API（文化部開放資料）,moc,區級,台中市,2,無,"24.14567,120.65389"
人類文化廳,政府API（文化部開放資料）,moc,exact,台中市,1,無,"24.157,120.666"
佛光山彰化福山寺,政府API（文化部開放資料）,moc,區級,彰化縣,1,無,"24.08178,120.56271"
佛光緣美術館台中館,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.14799,120.6211"
內惟藝術中心,政府API（文化部開放資料）,moc,區級,高雄市,3,無,"22.63977,120.27022"
全安堂臺灣太陽餅博物館,政府API（文化部開放資料）,moc,區級,台中市,1,無,"24.13,120.67315"
加沃文行 +wò Cultural Practice,政府API（文化部開放資料）,moc,區級,新竹市,1,無,"24.81351,120.95124"
勝利星村創意生活園區,政府API（文化部開放資料）,moc,區級,屏東縣,1,無,"22.67734,120.47033"
